Time,,,,,,,,,,,,,,,,,,,,
2021/04/08 19:28:49,,,,,,,,,,,,,,,,,,,,
11_calculaton amic sen-dBFS,,,,,,,,,,,,,,,,,,,,
Test Result:,Pass,,,,,,,,,,,,,,,,,,,
Value (dBFS):,-11.544,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
03_Amic background noise level-dBFS,,,,,,,,,,,,,,,,,,,,
Test Result:,Pass,,,,,,,,,,,,,,,,,,,
Value (dBFS):,-73.625,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
03_Calculate Mic sensitivity - Background noise-Single Value Difference,,,,,,,,,,,,,,,,,,,,
Test Result:,Pass,,,,,,,,,,,,,,,,,,,
Value (dBFS):,62.081,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
03_Amic background noise level_PeakSNR-Peak Amplitude,,,,,,,,,,,,,,,,,,,,
Test Result:,Pass,,,,,,,,,,,,,,,,,,,
Value (dB):,-58.268,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
01_AMIC Analysis 100-8000 wav-Frequency reponse,,,,,,,,,,,,,,,,,,,,
Test Result:,Pass,,,,,,,,,,,,,,,,,,,
Frequency (Hz):,100.000,125.000,160.000,200.000,250.000,315.000,400.000,500.000,630.000,800.000,1000.000,1250.000,1600.000,2000.000,2500.000,3150.000,4000.000,5000.000,6300.000,8000.000
Data (dBFS):,-16.164,-14.042,-12.304,-12.785,-11.712,-11.220,-11.125,-10.850,-10.778,-10.948,-10.348,-10.101,-9.448,-10.014,-12.491,-13.220,-8.654,-10.539,-14.686,-106.618
,,,,,,,,,,,,,,,,,,,,
01_AMIC Analysis 100-8000 wav-THD,,,,,,,,,,,,,,,,,,,,
Test Result:,Pass,,,,,,,,,,,,,,,,,,,
Frequency (Hz):,100.000,125.000,160.000,200.000,250.000,315.000,400.000,500.000,630.000,800.000,1000.000,1250.000,1600.000,2000.000,2500.000,3150.000,4000.000,5000.000,6300.000,8000.000
Data (%):,4.121,3.976,9.856,8.108,1.479,0.432,0.051,0.160,0.159,0.195,0.233,0.219,0.373,0.103,0.037,0.008,0.000,0.000,0.000,13.416
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
